Location Name,District,Governorate,Latitude,Longitude,Population,Economic,Social,Number of Families,Date,Origin
Al Somood Qtr,Al-Muqdadiya,Diyala,33.9845665,44.94254278,0.493,0.105,13.3,160,13-Apr-17,Diyala
AlTaiha Qtr,Al-Muqdadiya,Diyala,34.03141312,44.9463326,0.492,0,29.1,305,13-Apr-17,Diyala
Al Tinaira Village,Al-Muqdadiya,Diyala,34.03037545,44.94447296,0.49,0.301,34.3,138,13-Apr-17,Diyala
Al Oqood Village,Al-Muqdadiya,Diyala,34.03802,44.98449,0.483,0.146,22.2,80,13-Apr-17,Diyala
Al Wazan Village,Al-Muqdadiya,Diyala,34.03579,44.98483,0.483,0.192,25.7,44,13-Apr-17,Diyala
Baloor Village,Al-Muqdadiya,Diyala,33.98338365,44.93464242,0.478,0,23.5,329,13-Apr-17,Diyala
Haj fadhil village,Al-Muqdadiya,Diyala,34.00214397,44.87796137,0.477,0.068,29.9,16,13-Apr-17,Diyala
Hamada village,Al-Muqdadiya,Diyala,34.01124609,44.9009763,0.477,0.271,34.3,149,13-Apr-17,Diyala
Al Karama Qtr,Al-Muqdadiya,Diyala,33.98195953,44.93071169,0.474,0.203,26.4,20,13-Apr-17,Diyala
Al Mataar Qtr,Al-Muqdadiya,Diyala,33.98943701,44.94856754,0.47,0.216,29.2,380,13-Apr-17,Diyala
Al Noor Qtr,Al-Muqdadiya,Diyala,33.97659,44.93189,0.468,0.339,23.6,25,13-Apr-17,Diyala
Al Sooq Qtr,Al-Muqdadiya,Diyala,33.97539,44.93119,0.462,0.184,29.3,23,13-Apr-17,Diyala
Al Uroba Qtr,Al-Muqdadiya,Diyala,33.98346,44.93842,0.461,0,29.6,67,13-Apr-17,Diyala
Hembes Village,Al-Muqdadiya,Diyala,34.02645604,44.92557968,0.448,0,23.5,193,13-Apr-17,Diyala
Imam Talib Village,Al-Muqdadiya,Diyala,34.04016742,44.98807403,0.442,0.134,25.5,128,13-Apr-17,Diyala
Izham village,Al-Muqdadiya,Diyala,34.05480336,44.94463786,0.441,0,10.5,206,13-Apr-17,Diyala
Jubtin village,Al-Muqdadiya,Diyala,33.9992,44.88146,0.435,0.203,26.4,25,13-Apr-17,Diyala
Mahalat Door Al-Dhubbat,Al-Muqdadiya,Diyala,33.99035964,44.94794727,0.435,0.047,32,24,13-Apr-17,Diyala
Nahr Al Shaykh Village,Al-Muqdadiya,Diyala,33.99816435,44.97504293,0.422,0,29.9,177,13-Apr-17,Diyala
Nofal village,Al-Muqdadiya,Diyala,34.04846,44.98265,0.422,0.233,37.8,452,13-Apr-17,Diyala
